,Time_Zone ,Date,Tweets_tag
30, Central Africa Standard Time	,2021-03-26,"		Testament to our commitment to assist diverse women, we also launched our premier publication for persons with visual disability. They too deserve access to information. @UDPKenya @DKambKenSom @OlajideDemola @FordFoundation @AMWIK @Awireri @woman_kind  https://t.co/ShB4L2WdXG	en	[{'screen_name': 'udpkenya', 'name': 'udpk', 'id': '1299108870'}, {'screen_name': 'dkambkensom', 'name': 'ole thonke ðŸ‡©ðŸ‡°', 'id': '1370291021947535361'}, {'screen_name': 'olajidedemola', 'name': 'ademola olajide', 'id': '3049190648'}, {'screen_name': 'fordfoundation', 'name': 'ford foundation', 'id': '336218991'}, {'screen_name': 'amwik', 'name': 'association of media women in kenya', 'id': '80542392'}, {'screen_name': 'awireri', 'name': 'anne w. ireri', 'id': '1103635088'}, {'screen_name': 'woman_kind', 'name': 'womankind worldwide', 'id': '38401173'}]	[]	['https://pbs.twimg.com/media/ExbTtrRWQAMDODn.jpg', 'https://pbs.twimg.com/media/ExbTtrWWQAAW8w5.jpg', 'https://pbs.twimg.com/media/ExbTtrSXAAA7JIw.jpg', 'https://pbs.twimg.com/media/ExbTtrXXMAcLRYL.jpg']	0	4	18	[]	[]	https://twitter.com/fidakenya/status/1375519739599020038	False	0	1	https://pbs.twimg.com/media/ExbTtrRWQAMDODn.jpg							[]"
31, Central Africa Standard Time	,2021-03-26,"		At the AGM we also launched our 2020 Annual Report- â€˜Justice and Resilience within a pandemicâ€™. Authentic experiences from the frontlines-innovation and adaptation   @DKambKenSom @OlajideDemola @UNDPKenya @unwomenkenya  @FordFoundation @woman_kind  #FIDAAGM21  https://t.co/cVqm8cYePB	en	[{'screen_name': 'dkambkensom', 'name': 'ole thonke ðŸ‡©ðŸ‡°', 'id': '1370291021947535361'}, {'screen_name': 'olajidedemola', 'name': 'ademola olajide', 'id': '3049190648'}, {'screen_name': 'undpkenya', 'name': 'undp kenya', 'id': '97443520'}, {'screen_name': 'unwomenkenya', 'name': 'un women kenya', 'id': '1192908981250990080'}, {'screen_name': 'fordfoundation', 'name': 'ford foundation', 'id': '336218991'}, {'screen_name': 'woman_kind', 'name': 'womankind worldwide', 'id': '38401173'}]	[]	['https://pbs.twimg.com/media/ExbSA8PWQAgJQqa.jpg', 'https://pbs.twimg.com/media/ExbSA8KXAAAXjjO.jpg', 'https://pbs.twimg.com/media/ExbSA8KXIAQu_Se.jpg', 'https://pbs.twimg.com/media/ExbSA8RWYAIaVj9.jpg']	0	2	10	['fidaagm21']	[]	https://twitter.com/fidakenya/status/1375518378601799682	False	0	1	https://pbs.twimg.com/media/ExbSA8PWQAgJQqa.jpg							[]"
32, Central Africa Standard Time	,2021-03-26,"		The Board led by our Chairperson @NancyIkinu and other Boatd Members engaged with our diverse membership over the achievements of 2020 @Awireri @parawakili @UNFPAKen @OlajideDemola #FIDAAGM21  https://t.co/gnFos5bOLw	en	[{'screen_name': 'nancyikinu', 'name': 'nancy ikinu', 'id': '617323577'}, {'screen_name': 'awireri', 'name': 'anne w. ireri', 'id': '1103635088'}, {'screen_name': 'parawakili', 'name': 'jd wakonyo waruhiu', 'id': '154326737'}, {'screen_name': 'unfpaken', 'name': 'unfpa kenya', 'id': '373303428'}, {'screen_name': 'olajidedemola', 'name': 'ademola olajide', 'id': '3049190648'}]	[]	['https://pbs.twimg.com/media/ExbQ3JwXAAAqiXD.jpg', 'https://pbs.twimg.com/media/ExbQ3J4XAAA09zT.jpg', 'https://pbs.twimg.com/media/ExbQ3JxXEAIDeNW.jpg', 'https://pbs.twimg.com/media/ExbQ3J7WQAUttsB.jpg']	0	2	5	['fidaagm21']	[]	https://twitter.com/fidakenya/status/1375516632387252226	False	0	1	https://pbs.twimg.com/media/ExbQ3JwXAAAqiXD.jpg							[]"
33, Central Africa Standard Time	,2021-03-26,"		 https://t.co/oioDfpj0lR	und	[]	[]	['https://pbs.twimg.com/media/ExbP-nGXAAIiqD4.jpg', 'https://pbs.twimg.com/media/ExbP-nHXAAAZVoC.jpg']	1	1	5	[]	[]	https://twitter.com/fidakenya/status/1375515545567522818	False	0	1	https://pbs.twimg.com/media/ExbP-nGXAAIiqD4.jpg							[]"
34, Central Africa Standard Time	,2021-03-26,"		Today was a great day- 36 years of existence and impacting over 3 Million lives in Kenya and beyond. Our 2021 AGM @Awireri @UNFPA @DKambKenSom @FordFoundation @DiakoniaAfrica	en	[{'screen_name': 'awireri', 'name': 'anne w. ireri', 'id': '1103635088'}, {'screen_name': 'unfpa', 'name': 'unfpa', 'id': '194643654'}, {'screen_name': 'dkambkensom', 'name': 'ole thonke ðŸ‡©ðŸ‡°', 'id': '1370291021947535361'}, {'screen_name': 'fordfoundation', 'name': 'ford foundation', 'id': '336218991'}, {'screen_name': 'diakoniaafrica', 'name': 'diakoniaafrica', 'id': '1232567661491605505'}]	[]	[]	2	2	11	[]	[]	https://twitter.com/fidakenya/status/1375515540706357250	False	0	0								[]"
35, Central Africa Standard Time	,2021-03-25,		
36, Central Africa Standard Time	,2021-03-19,		FIDA - Kenya urges women facing SGBV to :  1.Get Out - dont wait on the situation to get worse.   https://t.co/o3dReq3ks8 Help - through our toll free number 0800 720 501  #FIDAonFemicide  https://t.co/dNGCFaVLDV	en	[]	['http://2.Seek']	['https://pbs.twimg.com/media/Ew2AHWVWEAEFR1D.jpg']	0	5	4	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372894337365839874	False	0	1	https://pbs.twimg.com/media/Ew2AHWVWEAEFR1D.jpg							[]
37, Central Africa Standard Time	,2021-03-19,"		â€˜FIDA - Kenya urges the community to be more vigilant and call the police on SGBV cases and be the whistle blowers on cases of violence for our homes to be safeâ€™ - Ann Ireri , Executive Director, FIDA - Kenya.  #FIDAonFemicide  https://t.co/AoZGwmRqa8	en	[]	[]	['https://pbs.twimg.com/media/Ew1_4KCXEAIWJV6.jpg']	1	5	8	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372894079529410560	False	0	1	https://pbs.twimg.com/media/Ew1_4KCXEAIWJV6.jpg							[]"
38, Central Africa Standard Time	,2021-03-19,		
39, Central Africa Standard Time	,2021-03-19,"		The rights, safety and security of all citizens is collective and itâ€™s upon all of us to hold the state accountable in its minimum to all of us.  #FIDAonFemicide  https://t.co/qkM9jSlnoK	en	[]	[]	[]	1	5	11	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372892941346349063	False	0	1	https://pbs.twimg.com/ext_tw_video_thumb/1372892811759120386/pu/img/D6ejy5Mn5UjNF7Qb.jpg							[]"
40, Central Africa Standard Time	,2021-03-19,		FIDA - Kenya appeals to the government to uphold its constitutional mandate in protecting girls and women from these wanton killings.  #FIDAonFemicide  https://t.co/Lg3shi9ljC	en	[]	[]	['https://pbs.twimg.com/media/Ew1zSSNXEAUc2MA.jpg']	1	24	17	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372880230885564416	False	0	1	https://pbs.twimg.com/media/Ew1zSSNXEAUc2MA.jpg							[]
41, Central Africa Standard Time	,2021-03-19,		The numbers are worrying and FIDA -Kenya is concerned over safety and security of women and girls of this nation.  #FIDAonFemicide  https://t.co/XACMh5w4Mi	en	[]	[]	['https://pbs.twimg.com/media/Ew1yeTrXEAE6czL.jpg']	1	22	16	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372879338979397637	False	0	1	https://pbs.twimg.com/media/Ew1yeTrXEAE6czL.jpg							[]
42, Central Africa Standard Time	,2021-03-19,"		FIDA- Kenya condems the recent gruesome murders of Ms. Velvine Kinyanjuu and National Land Commission, Ms. Jeniffer Wambua.  Their deaths add to the growing number of women and girls killed in recent months.  #FIDAonFemicide  https://t.co/guE6tqBFEd	en	[]	[]	['https://pbs.twimg.com/media/Ew1yFVMW8AAFuoF.jpg']	3	26	15	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372878909168087040	False	0	1	https://pbs.twimg.com/media/Ew1yFVMW8AAFuoF.jpg							[]"
43, Central Africa Standard Time	,2021-03-19,"		Unfortunately, SGBV in the country has had a continuum and worrying trend that is rapidly resulting into gender-motivated killing commonly referred to as Femicide.  #FIDAonFemicide  https://t.co/pzIAk7EvcT	en	[]	[]	['https://pbs.twimg.com/media/Ew1xwIlWYAEs1Q9.jpg']	1	25	13	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372878546889277443	False	0	1	https://pbs.twimg.com/media/Ew1xwIlWYAEs1Q9.jpg							[]"
44, Central Africa Standard Time	,2021-03-19,		There has been an increasing trend of physical abuse of women by relatives including in-laws with 96 cases reported.   Shockingly 71 rape cases have been reported.  #FIDAonFemicide  https://t.co/9wYQCw25bp	en	[]	[]	['https://pbs.twimg.com/media/Ew1xexIWEAQvYR9.jpg']	1	25	14	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372878243800485891	False	0	1	https://pbs.twimg.com/media/Ew1xexIWEAQvYR9.jpg							[]
45, Central Africa Standard Time	,2021-03-19,		The highest violence has been by intimate partners at 511 cases followed by defilement cases at 133.  #FIDAonFemicide  https://t.co/fWPvaD91tw	en	[]	[]	['https://pbs.twimg.com/media/Ew1xLRSWgAAON5f.jpg']	1	24	18	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372877912819568652	False	0	1	https://pbs.twimg.com/media/Ew1xLRSWgAAON5f.jpg							[]
46, Central Africa Standard Time	,2021-03-19,"		Between 15th April 2020 to 28th February 2021, a total number of 1,071 SGBV cases have been reported through the Toll Free number.  #FIDAonFemicide  https://t.co/nODbU4Rzoh	en	[]	[]	['https://pbs.twimg.com/media/Ew1wfFFXIAE_i1B.jpg']	1	25	16	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372877358819110920	False	0	1	https://pbs.twimg.com/media/Ew1wfFFXIAE_i1B.jpg							[]"
47, Central Africa Standard Time	,2021-03-19,		FIDA - Kenya has been undertaking regular analysis of data it receives through its GBV Toll free Line 0800 720 501 highlighting trends especially in SGBV.  #FIDAonFemicide  https://t.co/z5MBSdfufP	en	[]	[]	['https://pbs.twimg.com/media/Ew1wRtWXMAcliQr.jpg']	2	27	16	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372876923551019008	False	0	1	https://pbs.twimg.com/media/Ew1wRtWXMAcliQr.jpg							[]
48, Central Africa Standard Time	,2021-03-19,"		FIDA - Kenya works towards addressing challenges facing women access to their social, political and economic rights.  #FIDAonFemicide  https://t.co/dZhsKOYJcF	en	[]	[]	['https://pbs.twimg.com/media/Ew1v7NjWUAYZ3z6.jpg']	1	25	20	['fidaonfemicide']	[]	https://twitter.com/fidakenya/status/1372876536743878661	False	0	1	https://pbs.twimg.com/media/Ew1v7NjWUAYZ3z6.jpg							[]"
