,Time_Zone ,Date,Tweets_tag
21, Central Africa Standard Time	,2021-05-03,"		With thanks to @GPtoEndFGM donors ðŸ’œðŸ§¡ðŸ’™  @MFA_Austria, @franceonu, @MFAIceland, @ItalyMFA, @MFA_Lu, @NorwayMFA, @AECID_es, @SweMFA, @FCDOInclusive, @USAGov, and @EuropeAid!	en	""[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}, {'screen_name': 'mfa_austria', 'name': 'mfa austria', 'id': '233612497'}, {'screen_name': 'franceonu', 'name': """"la france Ã  l'onu"""", 'id': '104227735'}, {'screen_name': 'mfaiceland', 'name': 'mfa iceland ðŸ‡®ðŸ‡¸', 'id': '631186337'}, {'screen_name': 'italymfa', 'name': 'farnesina ðŸ‡®ðŸ‡¹', 'id': '599114492'}, {'screen_name': 'mfa_lu', 'name': 'mfa luxembourg ðŸ‡±ðŸ‡º', 'id': '711866406950801408'}, {'screen_name': 'norwaymfa', 'name': 'norway mfa', 'id': '966113328'}, {'screen_name': 'aecid_es', 'name': 'aecid', 'id': '281585895'}, {'screen_name': 'swemfa', 'name': 'swedish ministry for foreign affairs', 'id': '147512019'}, {'screen_name': 'fcdoinclusive', 'name': 'fcdo inclusive', 'id': '2833858359'}, {'screen_name': 'usagov', 'name': 'usagov', 'id': '14074515'}, {'screen_name': 'europeaid', 'name': '@europeaid', 'id': '1350078021663862784'}]""	[]	[]	0	1	2	[]	[]	https://twitter.com/GPtoEndFGM/status/1389109677695246336	False	0	0								[]"
22, Central Africa Standard Time	,2021-05-03,"		To #EndFGM in this decade, communities need to collectively transform the norms standing behind the practice.  In 2020, through @GPtoEndFGM, more than 2.2 million individuals across 2,156 communities participated in public declarations of FGM elimination.   @Atayeshe @UNICEFChief  https://t.co/Za0ZJJ5Zxu	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}, {'screen_name': 'atayeshe', 'name': 'dr. natalia kanem /she/her/ella/', 'id': '770650559699386369'}, {'screen_name': 'unicefchief', 'name': 'henrietta h. fore', 'id': '950824252562903040'}]	[]	['https://pbs.twimg.com/media/E0cbir5VcAIQ86n.jpg']	1	9	11	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389109298098171907	False	0	1	https://pbs.twimg.com/media/E0cbir5VcAIQ86n.jpg							[]"
23, Central Africa Standard Time	,2021-05-02,"		Almost 50 million girls and women have been subjected to #FGM in five practicing countries across the Middle East and North Africa region, accounting for one-quarter of the global total.   Actions MUST be accelerated to #EndFGM:  https://t.co/gGu5edLInf  @UNICEFmena @UNFPA_Arabic  https://t.co/rI1WEil4tK	en	[{'screen_name': 'unicefmena', 'name': 'unicef mena - ÙŠÙˆÙ†ÙŠØ³Ù� Ø§Ù„Ø´Ø±Ù‚ Ø§Ù„Ø£ÙˆØ³Ø· ÙˆØ´Ù…Ø§Ù„ Ø¥Ù�Ø±ÙŠÙ‚ÙŠØ§', 'id': '67080108'}, {'screen_name': 'unfpa_arabic', 'name': 'unfpa arabic', 'id': '631142448'}]	['https://uni.cf/378Zb1f']	['https://pbs.twimg.com/media/E0XUpmzVUAEiOsb.jpg']	1	10	13	['fgm', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1388749874611429381	False	0	1	https://pbs.twimg.com/media/E0XUpmzVUAEiOsb.jpg							[]"
24, Central Africa Standard Time	,2021-04-30,"		RT @UNFPAKen: The abandonment of FGM by 2022 in ðŸ‡°ðŸ‡ª requires a multisectoral approach with engagement of all stakeholders at the grassroot lâ€¦	en	[{'screen_name': 'unfpaken', 'name': 'unfpa kenya', 'id': '373303428'}]	[]	[]	0	38	0	[]	[]	https://twitter.com/GPtoEndFGM/status/1388036033200132098	True	0	0					373303428	""The abandonment of FGM by 2022 in ðŸ‡°ðŸ‡ª requires a multisectoral approach with engagement of all stakeholders at the grassroot level"
25,,,
26, Central Africa Standard Time,,
27, Central Africa Standard Time	,2021-04-29,"		At 13, Mary was forced to undergo #FGM. Now as a mother of 5, she says NO to FGM for her daughters.  Thanks @MFA_Austria @Franceonu @MFAIceland @ItalyMFA @MFA_Lu @NorwayMFA @AECID_es @SweMFA @FCDOInclusive @USAGov @EuropeAid for the commitment &amp; support to #EndFGM!  https://t.co/tFSS9FIgMX	en	""[{'screen_name': 'mfa_austria', 'name': 'mfa austria', 'id': '233612497'}, {'screen_name': 'franceonu', 'name': """"la france Ã  l'onu"""", 'id': '104227735'}, {'screen_name': 'mfaiceland', 'name': 'mfa iceland ðŸ‡®ðŸ‡¸', 'id': '631186337'}, {'screen_name': 'italymfa', 'name': 'farnesina ðŸ‡®ðŸ‡¹', 'id': '599114492'}, {'screen_name': 'mfa_lu', 'name': 'mfa luxembourg ðŸ‡±ðŸ‡º', 'id': '711866406950801408'}, {'screen_name': 'norwaymfa', 'name': 'norway mfa', 'id': '966113328'}, {'screen_name': 'aecid_es', 'name': 'aecid', 'id': '281585895'}, {'screen_name': 'swemfa', 'name': 'swedish ministry for foreign affairs', 'id': '147512019'}, {'screen_name': 'fcdoinclusive', 'name': 'fcdo inclusive', 'id': '2833858359'}, {'screen_name': 'usagov', 'name': 'usagov', 'id': '14074515'}, {'screen_name': 'europeaid', 'name': '@europeaid', 'id': '1350078021663862784'}]""	[]	[]	3	10	25	['fgm', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1387863227128745985	False	0	1	https://pbs.twimg.com/ext_tw_video_thumb/1387863190189580292/pu/img/8SxtzybZ2n9ZwGbn.jpg							[]"
28, Central Africa Standard Time	,2021-04-29,"		Across 17 countries with support from donors - @GPtoEndFGM works to transform the lives of girls &amp; women.  And we will continue to do so till we #EndFGM by 2030!  @MFA_Austria @Franceonu @MFAIceland @ItalyMFA @MFA_Lu @NorwayMFA @AECID_es @SweMFA @FCDOInclusive @USAGov @EuropeAid  https://t.co/tUda2P3U77	en	""[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}, {'screen_name': 'mfa_austria', 'name': 'mfa austria', 'id': '233612497'}, {'screen_name': 'franceonu', 'name': """"la france Ã  l'onu"""", 'id': '104227735'}, {'screen_name': 'mfaiceland', 'name': 'mfa iceland ðŸ‡®ðŸ‡¸', 'id': '631186337'}, {'screen_name': 'italymfa', 'name': 'farnesina ðŸ‡®ðŸ‡¹', 'id': '599114492'}, {'screen_name': 'mfa_lu', 'name': 'mfa luxembourg ðŸ‡±ðŸ‡º', 'id': '711866406950801408'}, {'screen_name': 'norwaymfa', 'name': 'norway mfa', 'id': '966113328'}, {'screen_name': 'aecid_es', 'name': 'aecid', 'id': '281585895'}, {'screen_name': 'swemfa', 'name': 'swedish ministry for foreign affairs', 'id': '147512019'}, {'screen_name': 'fcdoinclusive', 'name': 'fcdo inclusive', 'id': '2833858359'}, {'screen_name': 'usagov', 'name': 'usagov', 'id': '14074515'}, {'screen_name': 'europeaid', 'name': '@europeaid', 'id': '1350078021663862784'}]""	[]	['https://pbs.twimg.com/media/E0KCmmhUUAIRmjG.jpg']	0	0	4	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1387815239417143299	False	0	1	https://pbs.twimg.com/media/E0KCmmhUUAIRmjG.jpg							[]"
29, Central Africa Standard Time	,2021-04-29,"		ONE GOALðŸŽ¯  ONE VOICEðŸ—£ï¸�  ONE MISSIONâš–ï¸�  ONE DIRECTIONðŸš¶â€�â™‚ï¸�  ðŸ‡¦ðŸ‡¹ðŸ‡«ðŸ‡·ðŸ‡®ðŸ‡¸ðŸ‡®ðŸ‡¹ðŸ‡±ðŸ‡ºðŸ‡³ðŸ‡´ðŸ‡ªðŸ‡¸ðŸ‡¸ðŸ‡ªðŸ‡¬ðŸ‡§ðŸ‡ºðŸ‡¸ðŸ‡ªðŸ‡ºLetâ€™s UNITE to reach ZERO0âƒ£ FGM by 2âƒ£0âƒ£3âƒ£0âƒ£  #Act2EndFGM #EndFGM @FCDOInclusive @AECID_es @SweMFA @USAGov @cooperazione_it @franceonu @MFA_Austria @MFAIceland @europeaid @MFA_Lu @NorwayMFA @ItalyUN_NY  https://t.co/ApaQEHU5Up	en	""[{'screen_name': 'fcdoinclusive', 'name': 'fcdo inclusive', 'id': '2833858359'}, {'screen_name': 'aecid_es', 'name': 'aecid', 'id': '281585895'}, {'screen_name': 'swemfa', 'name': 'swedish ministry for foreign affairs', 'id': '147512019'}, {'screen_name': 'usagov', 'name': 'usagov', 'id': '14074515'}, {'screen_name': 'cooperazione_it', 'name': 'cooperazione italiana ðŸ‡®ðŸ‡¹', 'id': '1136408917'}, {'screen_name': 'franceonu', 'name': """"la france Ã  l'onu"""", 'id': '104227735'}, {'screen_name': 'mfa_austria', 'name': 'mfa austria', 'id': '233612497'}, {'screen_name': 'mfaiceland', 'name': 'mfa iceland ðŸ‡®ðŸ‡¸', 'id': '631186337'}, {'screen_name': 'europeaid', 'name': '@europeaid', 'id': '1350078021663862784'}, {'screen_name': 'mfa_lu', 'name': 'mfa luxembourg ðŸ‡±ðŸ‡º', 'id': '711866406950801408'}, {'screen_name': 'norwaymfa', 'name': 'norway mfa', 'id': '966113328'}, {'screen_name': 'italyun_ny', 'name': 'italy un new york', 'id': '253137919'}]""	[]	['https://pbs.twimg.com/media/E0JVFXKX0A05Sh5.jpg']	0	6	16	['act2endfgm', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1387767048395235328	False	0	1	https://pbs.twimg.com/media/E0JVFXKX0A05Sh5.jpg							[]"
30, Central Africa Standard Time	,2021-04-29,"		#today , girlðŸ‘§is one third less likely to undergo #FGM than 30 years ago.   With support fromðŸ‡¦ðŸ‡¹ðŸ‡«ðŸ‡·ðŸ‡®ðŸ‡¸ðŸ‡®ðŸ‡¹ðŸ‡±ðŸ‡ºðŸ‡³ðŸ‡´ðŸ‡ªðŸ‡¸ðŸ‡¸ðŸ‡ªðŸ‡¬ðŸ‡§ðŸ‡ºðŸ‡¸ðŸ‡ªðŸ‡º            We are transforming lives of girlsðŸ‘§ðŸ‘§   BUT more must be done.   @MFA_Austria   @franceonu  @ItalyMFA  @MFA_Lu @NorwayMFA  @AECID_es  @FCDOInclusive  https://t.co/pjuB4vLlfb	en	""[{'screen_name': 'mfa_austria', 'name': 'mfa austria', 'id': '233612497'}, {'screen_name': 'franceonu', 'name': """"la france Ã  l'onu"""", 'id': '104227735'}, {'screen_name': 'italymfa', 'name': 'farnesina ðŸ‡®ðŸ‡¹', 'id': '599114492'}, {'screen_name': 'mfa_lu', 'name': 'mfa luxembourg ðŸ‡±ðŸ‡º', 'id': '711866406950801408'}, {'screen_name': 'norwaymfa', 'name': 'norway mfa', 'id': '966113328'}, {'screen_name': 'aecid_es', 'name': 'aecid', 'id': '281585895'}, {'screen_name': 'fcdoinclusive', 'name': 'fcdo inclusive', 'id': '2833858359'}]""	[]	['https://pbs.twimg.com/media/E0Il-0QWYAQwQpz.jpg']	1	6	23	['today', 'fgm']	[]	https://twitter.com/GPtoEndFGM/status/1387715316474654729	False	0	1	https://pbs.twimg.com/media/E0Il-0QWYAQwQpz.jpg							[]"
